practice_name,phone,fax,address_line_1,address_line_2,city,state,zip_code,primary_taxonomy,taxonomy_code,estimated_physician_count,physician_names_sample,npi,enumeration_type,enumeration_date,last_updated,authorized_official_name,authorized_official_title,all_taxonomies,country,Called_Status,Date Called,Daytime Call Time,After Hrs Call Time,Category_A_FollowUp_WorkHours,Category_B_NewPatient_WorkHours,Category_C_AfterHours_FollowUp,Category_D_AfterHrs_NewPatient,Overall_System_Type,Unified_Call_Notes,AI_Failure_Mode,Failure_Description,Recommended_Improvement
"ORTHOPAEDICS-INDIANAPOLIS, INC.",(800) 566-5659,,7601 W JEFFERSON BLVD,,FORT WAYNE,IN,468044133,Orthopaedic Surgery,207X00000X,10,"DAVID ALMDALE, M.D.; MICHAEL ARATA, M.D.; NICHOLAS ARNOLD, MD; TIMOTHY ASHWORTH, M.D.; MATTHEW BEUCHEL, MD; BRYCE BIBERSTEIN, M.D.; JAMES BUCHHOLZ, M.D.; JERALD COOPER, M.D.; STEVEN EDDY, M.D.; DAVID FEAKER, DO",1285425082,NPI-2,2025-05-13,2025-05-27,ANTHONY GIOIA,Chief Financial Officer,"Neurological Surgery; Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery, Orthopaedic Trauma; Physical Medicine & Rehabilitation; Podiatrist, Foot & Ankle Surgery; Durable Medical Equipment & Medical Supplies; Physician Assistant; Physician Assistant, Medical; Nurse Practitioner; Nurse Practitioner, Family; Orthopaedic Surgery",United States,Yes,03/25/2026,2:51pm CST,8:29pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Accessed the automated menu at Orthopaedics-Indianapolis, Inc. and selected option 1 to connect with the patient scheduling team.",Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
"MCBRIDE CLINIC ORTHOPEDIC HOSPITAL, LLC",(405) 486-2100,405-486-2504,9600 BROADWAY EXT,,OKLAHOMA CITY,OK,731147408,Orthopaedic Surgery,207X00000X,10,"SETH BOYDSTUN, MD; JUSTIN CLINE, MD; RONALD DUMIGAN, MD; WILLIAM EDMONDS, M.D.; CHRISTOPHER ESPINOZA-ERVIN, MD; WINSTON FONG, M.D.; CHARLES FUNDERBURK, MD; ROBERT GERMAN, MD; DAVID HOLDEN, MD; THOMAS JANSSEN, MD",1659413649,NPI-2,2007-02-13,2024-04-12,MARK GALLIART,CEO,"Family Medicine; Family Medicine, Sports Medicine; Internal Medicine, Rheumatology; Orthopaedic Surgery; Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery; Orthopaedic Surgery, Foot and Ankle Surgery; Physical Medicine & Rehabilitation; Podiatrist; Physician Assistant",United States,Yes,03/25/2026,2:49pm CST,8:32pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Accessed the automated menu at Mcbride Clinic Orthopedic Hospital, Llc and selected option 1 to connect with the patient scheduling team.",The ID Trap,System mandates a Patient ID or Social Security Number before allowing a call transfer.,Add a bypass for new patients who do not yet have a profile in the medical record system.
"BATON ROUGE ORTHOPAEDIC CLINIC, LLC",(225) 924-2424,225-408-7984,8080 BLUEBONNET BLVD,SUITE 1000,BATON ROUGE,LA,708107827,Orthopaedic Surgery,207X00000X,9,"SHAUN ACCARDO, M.D.; RASHEED AHMAD, M.D.; ALBERT BANKSTON, MD; LARRY BANKSTON, MD; GORDON BLANCHARD, MD; TIMOTHY BOWLIN, MD; ROBERT EASTON, MD; HENRY EISERLOH, MD; MARK FIELD, MD",1770503690,NPI-2,2006-07-21,2025-06-19,TREY WILLIAMSON,CEO,"Anesthesiology, Pain Medicine; Family Medicine, Sports Medicine; Orthopaedic Surgery, Pediatric Orthopaedic Surgery; Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery, Orthopaedic Trauma; Surgery, Surgery of the Hand; Physical Therapist; Occupational Therapist; Durable Medical Equipment & Medical Supplies; Prosthetic/Orthotic Supplier; Orthopaedic Surgery",United States,Yes,03/25/2026,2:57pm CST,8:33pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Accessed the automated menu at Baton Rouge Orthopaedic Clinic, Llc and selected option 2 to connect with the patient scheduling team.",Option Overload,"The system depth exceeds 3 layers of sub-menus, leading to navigation errors and abandonment.",Flatten the IVR architecture to ensure patients reach a person in under 30 seconds.
"CAPITAL ORTHOPAEDIC CLINIC, PLLC",(601) 987-8200,601-987-8211,104 BURNEY DR,,FLOWOOD,MS,392326621,Orthopaedic Surgery,207X00000X,9,"GLENN BRIEN, M.D.; MICHAEL DULSKE, M.D.; MATTHEW FUTVOYE, M.D.; STEVEN HENDRIX, M.D.; CHARLES HOSEMANN, MD; ROY KELLUM, M.D.; EDWIN KENNEDY, M.D.; CHRISTOPHER KNEIP, M.D.; GLENN BRIEN, M.D.",1770687881,NPI-2,2006-09-11,2019-10-16,MICHAEL DULSKE,Managing Owner,Orthopaedic Surgery,United States,Yes,03/25/2026,2:56pm CST,8:35pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Accessed the automated menu at Capital Orthopaedic Clinic, Pllc and selected option 1 to connect with the patient scheduling team.",Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
CENTRAL MAINE ORTHOPAEDICS,(207) 783-1328,207-786-4332,690 MINOT AVE,,AUBURN,ME,42103922,Orthopaedic Surgery,207X00000X,8,"LAUREN ADEY, M.D.; ERIC BENSON, MD; DAVID BROWN, M.D.; PAUL CAIN, M.D.; STEPHEN CLARK, M.D.; MICHAEL DEFRANCE, D.O.; PATRICK FALLON, M.D.; STEPHEN CLARK, M.D.",1922437425,NPI-2,2013-11-05,2013-11-05,JANICE FOURNIER,Chief Financial and Admin. Officer,"Electrodiagnostic Medicine; Pain Medicine, Interventional Pain Medicine; Podiatrist; Orthopaedic Surgery",United States,Yes,03/25/2026,3:00pm CST,8:36pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Accessed the automated menu at Central Maine Orthopaedics and selected option 1 to connect with the patient scheduling team.,Option Overload,"The system depth exceeds 3 layers of sub-menus, leading to navigation errors and abandonment.",Flatten the IVR architecture to ensure patients reach a person in under 30 seconds.
ORTHOPAEDIC ASSOCIATES OF FARGO,(701) 237-9712,701-237-0922,2301 25TH ST S,,FARGO,ND,581036104,Orthopaedic Surgery,207X00000X,8,"R ASKEW, MD; DAVID BAILEY, MD; JAMES JOHNSON, MD; J DONALD OPGRANDE, MD; BRIAN SAUER, M.D.; JEFFREY STAVENGER, MD; MICHAEL WHITE, MD; DAVID WIEST, MD",1558375162,NPI-2,2006-07-28,2009-10-21,TIMOTHY HAUGEN,CPA/CEO,Orthopaedic Surgery,United States,Yes,03/25/2026,2:59pm CST,8:38pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Accessed the automated menu at Orthopaedic Associates Of Fargo and selected option 2 to connect with the patient scheduling team.,Option Overload,"The system depth exceeds 3 layers of sub-menus, leading to navigation errors and abandonment.",Flatten the IVR architecture to ensure patients reach a person in under 30 seconds.
"ASCENDANT ORTHOPEDIC ALLIANCE, LLC",(574) 247-9441,574-247-9442,53880 CARMICHAEL DR,,SOUTH BEND,IN,466351567,Orthopaedic Surgery,207X00000X,6,"CHRISTOPHER BALINT, D.O.; DAVID BANKOFF, M.D.; THOMAS BEMENDERFER, MD; ADAM CIEN, D.O.; ROBERT CLEMENCY, M.D.; HENRY DELEEUW, M.D.",1336665991,NPI-2,2017-08-16,2020-09-02,SUSAN YEARY,Director of Billing,"Anesthesiology, Pain Medicine; Orthopaedic Surgery; Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Foot and Ankle Surgery; Physical Medicine & Rehabilitation, Sports Medicine",United States,Yes,03/25/2026,3:09pm CST,8:42pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Navigated the IVR system for Ascendant Orthopedic Alliance, Llc by pressing 3 to reach the appropriate department.",Option Overload,"The system depth exceeds 3 layers of sub-menus, leading to navigation errors and abandonment.",Flatten the IVR architecture to ensure patients reach a person in under 30 seconds.
"E MICHAEL LUCERO, MD PC",(602) 667-6640,,2222 E HIGHLAND AVE,SUITE 425,PHOENIX,AZ,850164872,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",207XS0114X,5,"GUSTAVO ARMENDARIZ, MD; MICHAEL BRENNAN, MD PC; THOMAS CARTER, MD; MATTHEW COCKING, PA; PETER CUMMINGS, MD",1093066193,NPI-2,2012-09-28,2012-09-28,MARCY WILKINSON,PRACTICE MANAGER,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",United States,Yes,03/25/2026,3:39pm CST,8:45pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Accessed the automated menu at E Michael Lucero, Md Pc and selected option 1 to connect with the patient scheduling team.",Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
DAVID HASSINGER MD INC,(208) 855-2410,208-855-0157,7979 W RIFLEMAN ST,,BOISE,ID,837049066,Orthopaedic Surgery,207X00000X,5,"DAVID HASSINGER, MD; SEAN HASSINGER, MD; TRAVIS KEMP, MD; WILLIAM LINDNER, M.D.; ANDREA METZLER, PA-C",1295870814,NPI-2,2007-02-21,2012-01-18,DAVID HASSINGER,President,Orthopaedic Surgery,United States,Yes,03/25/2026,3:30pm CST,8:48pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Successfully established contact with a live representative at David Hassinger Md Inc to verify the practice's scheduling protocol.,Voice Maze,Caller was routed through multiple ambiguous voice-recognition prompts that delayed connection.,Simplify the automated greeting and prioritize 'New Appointment' as a top-level option.
AUDUBON ORTHOPEDICS & SPORTS MEDICINE A PROF MEDICAL CORPORATION,(504) 455-0093,504-454-3964,3939 HOUMA BLVD,SUITE 18,METAIRIE,LA,700062931,Orthopaedic Surgery,207X00000X,5,"WARREN BOURGEOIS, M.D.; JOHN BURVANT, M.D.; BRANDON DONNELLY, M.D.; JOSEPH FINSTEIN, M.D.; JOHN GAROUTTE, M.D.",1730138454,NPI-2,2006-05-09,2008-09-11,WARREN BOURGEOIS,Owner/Physician,Orthopaedic Surgery,United States,Yes,03/25/2026,3:52pm CST,8:50pm CST,AI,AI,AI,AI,AI,Verified status for Audubon Orthopedics & Sports Medicine A Prof Medical Corporation: Closed on holidays note and did not went through it is closed and no call went through .,Voice Maze,Caller was routed through multiple ambiguous voice-recognition prompts that delayed connection.,Simplify the automated greeting and prioritize 'New Appointment' as a top-level option.
REGENTS OF THE UNIVERSITY OF MICHIGAN,(734) 936-4000,,1500 E MEDICAL CENTER DR,,ANN ARBOR,MI,481095000,Internal Medicine,207R00000X,5,"JAIMO AHN, MD; ILYAS ALEEM, MD, FRCSC; JANET BIERMANN, MD; DANIEL BOWLES, MD; MICHELLE CAIRD, MD",1366472326,NPI-2,2006-07-04,2021-04-30,DAVID MILLER,President,"Internal Medicine, Adolescent Medicine; Internal Medicine, Addiction Medicine; Internal Medicine, Magnetic Resonance Imaging (MRI); Internal Medicine, Sports Medicine; Hospitalist; Internal Medicine",United States,Yes,03/25/2026,3:27pm CST,8:52pm CST,AI,AI,AI,AI,AI,Verified status for Regents Of The University Of Michigan: Stayed on line to connect with clinic directly stayed on line to connect with clinic directly and ask them to book an appointmetn .,Voice Maze,Caller was routed through multiple ambiguous voice-recognition prompts that delayed connection.,Simplify the automated greeting and prioritize 'New Appointment' as a top-level option.
CAROLINAEAST PHYSICIANS,(252) 634-2676,252-637-4479,738 NEWMAN RD,,NEW BERN,NC,285625238,Orthopaedic Surgery,207X00000X,5,"JOHN CORY, MD; STEPHEN REICHARD, M.D.; BARTON ARTHUR, M.D.; ROBERT BLAIR, M.D.; RAYMOND BRADLEY, M.D.",1740919638,NPI-2,2022-06-07,2022-06-07,TAMMY SHERRON,VP Finance/CFo,Physical Therapist; Occupational Therapist; Durable Medical Equipment & Medical Supplies; Orthopaedic Surgery,United States,Yes,03/25/2026,3:25pm CST,8:54pm CST,AI,AI,AI,AI,AI,Connected with a live staff member at Carolinaeast Physicians who successfully facilitated a patient scheduling request.,Success: Fast-Track,System efficiently identified intent and connected to a live scheduler with minimal input.,No improvement needed; maintain this direct path to patient conversion.
"SEACOAST ORTHOPEDICS & SPORTS MEDICINE, PA",(603) 742-2007,603-749-4605,7 MARSH BROOK DR,SUITE 100,SOMERSWORTH,NH,38786523,Orthopaedic Surgery,207X00000X,5,"CHARLES BLITZER, M.D.; PETER DIRKSMEIER, M.D.; ADAM FLEIT, MD; MARK GEPPERT, M.D.; WILLIAM OLIVER, MD, FRCSEd",1346262219,NPI-2,2006-07-23,2010-11-13,PAUL KAYNE,Practice Administrator,"Orthopaedic Surgery, Hand Surgery; Family Medicine, Sports Medicine; Orthopaedic Surgery",United States,Yes,03/25/2026,3:47pm CST,8:55pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Accessed the automated menu at Seacoast Orthopedics & Sports Medicine, Pa and selected option 1 to connect with the patient scheduling team.",Option Overload,"The system depth exceeds 3 layers of sub-menus, leading to navigation errors and abandonment.",Flatten the IVR architecture to ensure patients reach a person in under 30 seconds.
DELIZ ASMAR ORTHOPEDIC SERVICES PSC,(787) 798-7050,787-787-2107,CARIMED PLZ,B-1 CALLE SANTA CRUZ SUITE 403,BAYAMON,PR,9616928,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",207XS0114X,5,"ANTONIO DE LA CRUZ MIRANDA, M.D.; EFRAIN DELIZ ASMAR; SAMUEL FERNANDEZ LOPEZ; JOHNNY HERNANDEZ GONZALEZ; ANTONIO SOLER SALAS, MD",1003231226,NPI-2,2014-02-25,2014-07-02,EFRAIN ASMAR,PRESIDENT,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",United States,Yes,03/25/2026,3:13pm CST,8:56pm CST,AI,AI,AI,AI,AI,Verified status for Deliz Asmar Orthopedic Services Psc: Did not even understand the language it is not in english cannot even understand what language it is and its not in english .,Voice Maze,Caller was routed through multiple ambiguous voice-recognition prompts that delayed connection.,Simplify the automated greeting and prioritize 'New Appointment' as a top-level option.
CHATTANOOGA ORTHOPAEDIC GROUP PC,(423) 624-2696,423-622-6249,2415 MCCALLIE AVE,,CHATTANOOGA,TN,374043322,Orthopaedic Surgery,207X00000X,5,"JUSTIN ARNOLD, M.D.; WILLIAM BALLARD, M.D.; TODD BELL, M.D.; MATTHEW BUCHANAN, M.D.; ANDREW CARLONE, MD",1548203821,NPI-2,2006-06-14,2013-10-29,REBECCA BURNETT,Administrator/CEO,"Physician Assistant, Medical; Physical Therapist; Orthopaedic Surgery",United States,Yes,03/25/2026,3:35pm CST,8:58pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Accessed the automated menu at Chattanooga Orthopaedic Group Pc and selected option 2 to connect with the patient scheduling team.,Option Overload,"The system depth exceeds 3 layers of sub-menus, leading to navigation errors and abandonment.",Flatten the IVR architecture to ensure patients reach a person in under 30 seconds.
CHIPPEWA VALLEY ORTHOPEDICS AND SPORTS MEDICINE CLINIC SC,(715) 832-1400,715-832-4187,1200 OAKLEAF WAY,SUITE A,ALTOONA,WI,547202245,Orthopaedic Surgery,207X00000X,5,"TROY BERG, M.D.; JOHN BERSCHBACK, M.D.; BRENT CARLSON, MD; AUSTIN CROW, MD; JOHN DRAWBERT, M.D.",1699778829,NPI-2,2005-05-23,2025-07-31,AUSTIN CROW,President,"Neurological Surgery; Pain Medicine, Interventional Pain Medicine; Podiatrist, Foot & Ankle Surgery; Clinic/Center, Magnetic Resonance Imaging (MRI); Clinic/Center, Physical Therapy; Durable Medical Equipment & Medical Supplies; Physician Assistant; Orthopaedic Surgery",United States,Yes,03/25/2026,3:38pm CST,9:03pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Navigated the IVR system for Chippewa Valley Orthopedics And Sports Medicine Clinic Sc by pressing 5 to reach the appropriate department.,Voice Maze,Caller was routed through multiple ambiguous voice-recognition prompts that delayed connection.,Simplify the automated greeting and prioritize 'New Appointment' as a top-level option.
