practice_name,phone,fax,address_line_1,address_line_2,city,state,zip_code,primary_taxonomy,taxonomy_code,estimated_physician_count,physician_names_sample,npi,enumeration_type,enumeration_date,last_updated,authorized_official_name,authorized_official_title,all_taxonomies,country,Called_Status,Date Called,Daytime Call Time,After Hrs Call Time,Category_A_FollowUp_WorkHours,Category_B_NewPatient_WorkHours,Category_C_AfterHours_FollowUp,Category_D_AfterHrs_NewPatient,Overall_System_Type,Unified_Call_Notes
CHILDREN'S SPORTS MEDICINE FOUNDATION INC.,(617) 355-5971,617-730-0178,300 LONGWOOD AVE,,BOSTON,MA,21155724,Orthopaedic Surgery,207X00000X,12,"CRAIG BIRCH, M.D.; DAVID FOGELMAN, M.D.; GRANT HOGUE, MD; MOHAMMAD ABDELAAL, MD; MUNIF AHMAD HATEM, MD; DONALD BAE, MD; CRAIG BIRCH, M.D.; ELISE BIXBY, MD; ELISE BUCKLEY, NP; SASHA CARSEN, M.D.",1740216811,NPI-2,2006-06-23,2026-02-10,MININDER KOCHER,Division Chief,"Emergency Medicine, Sports Medicine; Psychologist, Clinical; Podiatrist; Nurse Practitioner, Pediatrics; Pediatrics, Sports Medicine; Podiatrist, Sports Medicine; Physician Assistant; Family Medicine, Sports Medicine; Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery",United States,Yes,03/25/2026,1:10pm CST,8:16pm CST,No Answer,No Answer,Voicemail,Voicemail,N/A,"Reached the automated voicemail system for Children'S Sports Medicine Foundation Inc., confirming the line is active for patient messages."
DESERT ORTHOPAEDIC BILLING LLC,(702) 731-1616,702-869-3542,2800 E DESERT INN RD STE 100,,LAS VEGAS,NV,891213609,Orthopaedic Surgery,207X00000X,12,"CHELSEY ADAMS, PA; AJIT AMESUR, DO; JOHN BALDAUF, M.D.; ROGER FONTES, MD; GUSTAVO GARCIA, M.D.; KYLE HANCOCK, M.D.; MARK HANSEN, M.D.; SYED HASAN, MD; LAWRENCE HUFF, MD; DANIEL LEE, M.D.",1972825602,NPI-2,2010-02-22,2024-08-07,MICHAEL PENDLETON,CEO,Orthopaedic Surgery,United States,Yes,03/25/2026,1:33pm CST,8:18pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Accessed the automated menu at Desert Orthopaedic Billing Llc and selected option 4 to connect with the patient scheduling team.
"BLACK HILLS ORTHOPEDIC & SPINE CENTER, INC.",(605) 341-1414,605-341-7062,7220 MOUNT RUSHMORE RD,,RAPID CITY,SD,577028754,"Clinic/Center, Multi-Specialty",261QM1300X,12,"MARGARET CHILVERS, MD; CLARK DUCHENE, MD; AARON DYKSTRA, M.D.; ZACHARY FINLEY, MD; STEVEN GIUSEFFI, M.D.; NATHAN JACOBSON, MD; BRYAN LARSON, MD; JEFFREY MARRS, MD; EMMETT MCELENEY, M.D.; SAMUEL MORTIMER, MD",1477523678,NPI-2,2006-01-23,2025-01-13,TONY MORRISON,"VP, Revenue Cycle","Orthopaedic Surgery; Clinic/Center, Multi-Specialty",United States,Yes,03/25/2026,1:35pm CST,8:20pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Accessed the automated menu at Black Hills Orthopedic & Spine Center, Inc. and selected option 1 to connect with the patient scheduling team."
"ORTHOPAEDIC ASSOCIATES OF PORTLAND, PA",(207) 828-2100,207-828-2190,33 SEWALL ST,,PORTLAND,ME,41022603,Orthopaedic Surgery,207X00000X,11,"DIRK ASHERMAN, M.D.; STEPHEN BARR, M.D.; ALLISON BAYSOL, PA-C; DOUGLAS BROWN, M.D.; JOHN CHANCE, M.D.; BRUCE GOMBERG, MD; PETER GUAY, D.O; KATHRYN HANNA, M.D.; ERIC HOFFMAN, M.D.; BENJAMIN HUFFARD, M.D.",1295729531,NPI-2,2005-09-01,2011-10-12,WILLIAM WIPFLER,Officer,Orthopaedic Surgery,United States,Yes,03/25/2026,1:45pm CST,8:22pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Connected with a live staff member at Orthopaedic Associates Of Portland, Pa who successfully facilitated a patient scheduling request."
ANDREW D PEARLE MD PC,(212) 774-2878,212-774-2798,535 E 70TH ST,,NEW YORK,NY,100214898,Orthopaedic Surgery,207X00000X,11,"KATHRYN BARTH, MD; MICHAEL ADASHEV; MATTHEW ABOLA, MD; MICHAEL ADASHEV; TODD ALBERT, MD; ANSWORTH ALLEN, MD; ALEX ANATONE; NICOLE BAKER, MD; KATHRYN BARTH, MD; ALEX ANATONE",1285866392,NPI-2,2009-08-24,2021-03-25,ANDREW PEARLE,President,Orthopaedic Surgery,United States,Yes,03/25/2026,1:38pm CST,8:24pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Connected with a live staff member at Andrew D Pearle Md Pc who successfully facilitated a patient scheduling request.
NEW YORK SOCIETY FOR THE RELIEF OF THE RUPTURED AND CRIPPLED MAINTAINI,(212) 774-7598,,535 E 70TH ST,,NEW YORK,NY,100214823,Orthopaedic Surgery,207X00000X,11,"KATHRYN BARTH, MD; MICHAEL ADASHEV; MATTHEW ABOLA, MD; MICHAEL ADASHEV; TODD ALBERT, MD; ANSWORTH ALLEN, MD; ALEX ANATONE; NICOLE BAKER, MD; KATHRYN BARTH, MD; ALEX ANATONE",1801282512,NPI-2,2015-04-09,2025-05-02,RICHARD CROWLEY,Vice President of Physician Service,Orthopaedic Surgery,United States,Yes,03/25/2026,1:37pm CST,8:26pm CST,Human,Human,AI,AI,Human,"Reached the automated voicemail system for New York Society For The Relief Of The Ruptured And Crippled Maintaini, confirming the line is active for patient messages."
GABRIEL WC MA MD INC,(808) 524-7333,,1380 LUSITANA ST,SUITE 214,HONOLULU,HI,968132449,Orthopaedic Surgery,207X00000X,10,"ROBERT ATKINSON, MD; GARY BLUM, M.D.; KEVIN CHRISTENSEN, MD; JEFFERY HARPSTRITE, MD; DARRYL KAN, MD; KYLE MITSUNAGA, MD; LANCE MITSUNAGA, MD; MORRIS MITSUNAGA, MD; DANIEL SINGER, M.D.; SYDNEY SMITH, M.D.",1366733958,NPI-2,2011-04-29,2011-04-29,GABRIEL MA,President,Orthopaedic Surgery,United States,Yes,03/25/2026,2:50pm CST,8:27pm CST,No Answer,No Answer,No Answer,No Answer,N/A,All circuits are busy please try again later all circuits are busy please try again later .
"ORTHOPAEDICS-INDIANAPOLIS, INC.",(800) 566-5659,,7601 W JEFFERSON BLVD,,FORT WAYNE,IN,468044133,Orthopaedic Surgery,207X00000X,10,"DAVID ALMDALE, M.D.; MICHAEL ARATA, M.D.; NICHOLAS ARNOLD, MD; TIMOTHY ASHWORTH, M.D.; MATTHEW BEUCHEL, MD; BRYCE BIBERSTEIN, M.D.; JAMES BUCHHOLZ, M.D.; JERALD COOPER, M.D.; STEVEN EDDY, M.D.; DAVID FEAKER, DO",1285425082,NPI-2,2025-05-13,2025-05-27,ANTHONY GIOIA,Chief Financial Officer,"Neurological Surgery; Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery, Orthopaedic Trauma; Physical Medicine & Rehabilitation; Podiatrist, Foot & Ankle Surgery; Durable Medical Equipment & Medical Supplies; Physician Assistant; Physician Assistant, Medical; Nurse Practitioner; Nurse Practitioner, Family; Orthopaedic Surgery",United States,Yes,03/25/2026,2:51pm CST,8:29pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Accessed the automated menu at Orthopaedics-Indianapolis, Inc. and selected option 1 to connect with the patient scheduling team."
"ORTHOPAEDIC & SPORTS MEDICINE CLINIC OF KANSAS CITY, LLC",(913) 319-7546,913-319-7691,3651 COLLEGE BLVD,#100A,LEAWOOD,KS,662111904,"Orthopaedic Surgery, Sports Medicine",207XX0005X,10,"BRANT ANSLEY, MD; SEAN BONANNI, MD; JON BROWNE, M.D.; DANIEL CHERNOFF, MD; SCOTT COOK, MD; BRIAN DIVELBISS, MD; KENT DOAN, MD; HAROLD ELLSWORTH, MD; ROBERT GARDINER, MD; JAMES HALLORAN, MD",1336269570,NPI-2,2007-03-30,2021-08-11,JON BROWNE,President,"Orthopaedic Surgery, Sports Medicine",United States,Yes,03/25/2026,2:53pm CST,8:30pm CST,No Answer,No Answer,No Answer,No Answer,N/A,"Verified status for Orthopaedic & Sports Medicine Clinic Of Kansas City, Llc: Did not pick the call call is not picked and i left voicenote to get callback ."
"MCBRIDE CLINIC ORTHOPEDIC HOSPITAL, LLC",(405) 486-2100,405-486-2504,9600 BROADWAY EXT,,OKLAHOMA CITY,OK,731147408,Orthopaedic Surgery,207X00000X,10,"SETH BOYDSTUN, MD; JUSTIN CLINE, MD; RONALD DUMIGAN, MD; WILLIAM EDMONDS, M.D.; CHRISTOPHER ESPINOZA-ERVIN, MD; WINSTON FONG, M.D.; CHARLES FUNDERBURK, MD; ROBERT GERMAN, MD; DAVID HOLDEN, MD; THOMAS JANSSEN, MD",1659413649,NPI-2,2007-02-13,2024-04-12,MARK GALLIART,CEO,"Family Medicine; Family Medicine, Sports Medicine; Internal Medicine, Rheumatology; Orthopaedic Surgery; Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery; Orthopaedic Surgery, Foot and Ankle Surgery; Physical Medicine & Rehabilitation; Podiatrist; Physician Assistant",United States,Yes,03/25/2026,2:49pm CST,8:32pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Accessed the automated menu at Mcbride Clinic Orthopedic Hospital, Llc and selected option 1 to connect with the patient scheduling team."
"BATON ROUGE ORTHOPAEDIC CLINIC, LLC",(225) 924-2424,225-408-7984,8080 BLUEBONNET BLVD,SUITE 1000,BATON ROUGE,LA,708107827,Orthopaedic Surgery,207X00000X,9,"SHAUN ACCARDO, M.D.; RASHEED AHMAD, M.D.; ALBERT BANKSTON, MD; LARRY BANKSTON, MD; GORDON BLANCHARD, MD; TIMOTHY BOWLIN, MD; ROBERT EASTON, MD; HENRY EISERLOH, MD; MARK FIELD, MD",1770503690,NPI-2,2006-07-21,2025-06-19,TREY WILLIAMSON,CEO,"Anesthesiology, Pain Medicine; Family Medicine, Sports Medicine; Orthopaedic Surgery, Pediatric Orthopaedic Surgery; Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery, Orthopaedic Trauma; Surgery, Surgery of the Hand; Physical Therapist; Occupational Therapist; Durable Medical Equipment & Medical Supplies; Prosthetic/Orthotic Supplier; Orthopaedic Surgery",United States,Yes,03/25/2026,2:57pm CST,8:33pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Accessed the automated menu at Baton Rouge Orthopaedic Clinic, Llc and selected option 2 to connect with the patient scheduling team."
"CAPITAL ORTHOPAEDIC CLINIC, PLLC",(601) 987-8200,601-987-8211,104 BURNEY DR,,FLOWOOD,MS,392326621,Orthopaedic Surgery,207X00000X,9,"GLENN BRIEN, M.D.; MICHAEL DULSKE, M.D.; MATTHEW FUTVOYE, M.D.; STEVEN HENDRIX, M.D.; CHARLES HOSEMANN, MD; ROY KELLUM, M.D.; EDWIN KENNEDY, M.D.; CHRISTOPHER KNEIP, M.D.; GLENN BRIEN, M.D.",1770687881,NPI-2,2006-09-11,2019-10-16,MICHAEL DULSKE,Managing Owner,Orthopaedic Surgery,United States,Yes,03/25/2026,2:56pm CST,8:35pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Accessed the automated menu at Capital Orthopaedic Clinic, Pllc and selected option 1 to connect with the patient scheduling team."
CENTRAL MAINE ORTHOPAEDICS,(207) 783-1328,207-786-4332,690 MINOT AVE,,AUBURN,ME,42103922,Orthopaedic Surgery,207X00000X,8,"LAUREN ADEY, M.D.; ERIC BENSON, MD; DAVID BROWN, M.D.; PAUL CAIN, M.D.; STEPHEN CLARK, M.D.; MICHAEL DEFRANCE, D.O.; PATRICK FALLON, M.D.; STEPHEN CLARK, M.D.",1922437425,NPI-2,2013-11-05,2013-11-05,JANICE FOURNIER,Chief Financial and Admin. Officer,"Electrodiagnostic Medicine; Pain Medicine, Interventional Pain Medicine; Podiatrist; Orthopaedic Surgery",United States,Yes,03/25/2026,3:00pm CST,8:36pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Accessed the automated menu at Central Maine Orthopaedics and selected option 1 to connect with the patient scheduling team.
ORTHOPAEDIC ASSOCIATES OF FARGO,(701) 237-9712,701-237-0922,2301 25TH ST S,,FARGO,ND,581036104,Orthopaedic Surgery,207X00000X,8,"R ASKEW, MD; DAVID BAILEY, MD; JAMES JOHNSON, MD; J DONALD OPGRANDE, MD; BRIAN SAUER, M.D.; JEFFREY STAVENGER, MD; MICHAEL WHITE, MD; DAVID WIEST, MD",1558375162,NPI-2,2006-07-28,2009-10-21,TIMOTHY HAUGEN,CPA/CEO,Orthopaedic Surgery,United States,Yes,03/25/2026,2:59pm CST,8:38pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,Accessed the automated menu at Orthopaedic Associates Of Fargo and selected option 2 to connect with the patient scheduling team.
VALLEY BONE AND JOINT CLINIC PC,(701) 746-7521,701-795-2553,3035 DEMERS AVE,,GRAND FORKS,ND,582014018,Orthopaedic Surgery,207X00000X,8,"YASHRAJ CHAUHAN; ROBERT CLAYBURGH, MD; HEATH GOULD, MD; DARIN LEETUN, MD; DAVID SCHALL, MD; JOFFREY THOMPSON, MD; YASHRAJ CHAUHAN; DAVID SCHALL, MD",1033180153,NPI-2,2006-01-27,2020-02-11,LORAE BENSON,mgr,Physical Medicine & Rehabilitation; Orthopaedic Surgery,United States,Yes,03/25/2026,2:58pm CST,8:40pm CST,Human,Human,IVR / Phone Tree,IVR / Phone Tree,Human,Connected with a live staff member at Valley Bone And Joint Clinic Pc who successfully facilitated a patient scheduling request.
"ASCENDANT ORTHOPEDIC ALLIANCE, LLC",(574) 247-9441,574-247-9442,53880 CARMICHAEL DR,,SOUTH BEND,IN,466351567,Orthopaedic Surgery,207X00000X,6,"CHRISTOPHER BALINT, D.O.; DAVID BANKOFF, M.D.; THOMAS BEMENDERFER, MD; ADAM CIEN, D.O.; ROBERT CLEMENCY, M.D.; HENRY DELEEUW, M.D.",1336665991,NPI-2,2017-08-16,2020-09-02,SUSAN YEARY,Director of Billing,"Anesthesiology, Pain Medicine; Orthopaedic Surgery; Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Foot and Ankle Surgery; Physical Medicine & Rehabilitation, Sports Medicine",United States,Yes,03/25/2026,3:09pm CST,8:42pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Navigated the IVR system for Ascendant Orthopedic Alliance, Llc by pressing 3 to reach the appropriate department."
MATTHEW K. NELSON MD,(304) 461-3903,304-461-3915,1717 HARPER RD,"SECOND FLOOR, SUITE B",BECKLEY,WV,258013373,Orthopaedic Surgery,207X00000X,6,"GEORGE CHARRON, MD; MANSOUR ALVI; GEORGE CHARRON, MD; WILLIAM LACOST, D.O.; MATTHEW NELSON, M.D.; ERIK STAPLETON, D.O.",1407106339,NPI-2,2012-09-18,2013-01-03,MATTHEW NELSON,Owner,Orthopaedic Surgery,United States,Yes,03/25/2026,3:03pm CST,8:43pm CST,Human,Human,IVR / Phone Tree,IVR / Phone Tree,Human,Connected with a live staff member at Matthew K. Nelson Md who successfully facilitated a patient scheduling request.
"E MICHAEL LUCERO, MD PC",(602) 667-6640,,2222 E HIGHLAND AVE,SUITE 425,PHOENIX,AZ,850164872,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",207XS0114X,5,"GUSTAVO ARMENDARIZ, MD; MICHAEL BRENNAN, MD PC; THOMAS CARTER, MD; MATTHEW COCKING, PA; PETER CUMMINGS, MD",1093066193,NPI-2,2012-09-28,2012-09-28,MARCY WILKINSON,PRACTICE MANAGER,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",United States,Yes,03/25/2026,3:39pm CST,8:45pm CST,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,IVR / Phone Tree,AI,"Accessed the automated menu at E Michael Lucero, Md Pc and selected option 1 to connect with the patient scheduling team."
"MEDICAL FACULTY ASSOCIATES, INC",(202) 741-3350,,2150 PENNSYLVANIA AVE NW,SUITE 10-409A,WASHINGTON,DC,200373201,Anesthesiology,207L00000X,5,"JAMES MICHELSON, MD; ROBERT NEVIASER, MD; TOM POLLARD, MD; WARREN YU; JAMES MICHELSON, MD",1417990581,NPI-2,2006-06-14,2008-01-28,STEPHEN BADGER,Chief Executive Officer,"Dermatology; Dermatology, Dermatopathology; Emergency Medicine; Internal Medicine; Medical Genetics, Clinical Biochemical Genetics; Obstetrics & Gynecology; Ophthalmology; Orthopaedic Surgery; Otolaryngology; Pathology, Blood Banking & Transfusion Medicine; Pediatrics; Plastic Surgery; Surgery; Radiology, Body Imaging; Anesthesiology",United States,Yes,03/25/2026,3:33pm CST,8:47pm CST,No Answer,No Answer,No Answer,No Answer,N/A,"Verified status for Medical Faculty Associates, Inc: Did not pick the call nobody picked the call it rang and got cut at last ."
