practice_name,phone,fax,address_line_1,address_line_2,city,state,zip_code,primary_taxonomy,taxonomy_code,estimated_physician_count,physician_names_sample,npi,enumeration_type,enumeration_date,last_updated,authorized_official_name,authorized_official_title,all_taxonomies,country
ROBERT E GIERINGER MD A PROFESSIONAL CORPORATION,(907) 563-3232,907-563-7808,2751 DEBARR RD,STE 320,ANCHORAGE,AK,995082952,Orthopaedic Surgery,207X00000X,1,"ROBERT GIERINGER, MD",1073691283,NPI-2,2006-11-02,2010-05-07,ROBERT GIERINGER,CEO,Orthopaedic Surgery,United States
SCHUMACHER ORTHOPEDICS LLC,(907) 250-0571,907-600-5083,1389 HUFFMAN PARK DR # 210,,ANCHORAGE,AK,995153534,Orthopaedic Surgery,207X00000X,0,,1306593314,NPI-2,2022-03-09,2022-03-09,GREGORY SCHUMACHER,owner/physician,Orthopaedic Surgery,United States
SURGICAL SPECIALISTS OF ALASKA,(907) 277-9700,907-258-8010,2751 DEBARR RD STE 310,,ANCHORAGE,AK,99508,"Clinic/Center, Multi-Specialty",261QM1300X,0,,1841796869,NPI-2,2018-03-30,2018-06-15,MAGGIE CARO,Practice Manager,"Clinic/Center, Primary Care; Orthopaedic Surgery; Clinic/Center, Multi-Specialty",United States
TOWER JOINT REPLACEMENT CLINIC,(907) 222-2924,,2401 E 42ND AVE STE 101,,ANCHORAGE,AK,995085228,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",207XS0114X,0,,1336532274,NPI-2,2015-03-17,2021-07-21,JULIE VERONICK,Practice Administrator,"Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery",United States
JESSICA SPAYD,(907) 622-4673,907-622-4674,11823 OLD GLENN HWY,SUITE 110,EAGLE RIVER,AK,995777734,Family Medicine,208VP0000X,0,,1255465720,NPI-2,2007-03-15,2008-04-20,JESSICA SPAYD,Registered Agent,"Family Medicine; Family Medicine, Addiction Medicine; Family Medicine, Sports Medicine; Physical Medicine & Rehabilitation; Physical Medicine & Rehabilitation, Pain Medicine; General Practice",United States
"MEDICAL NETWORK OF ALASKA, LLC",(907) 689-3145,,17025 SNOWMOBILE LN STE 102,,EAGLE RIVER,AK,995777044,Orthopaedic Surgery,207X00000X,0,,1821796533,NPI-2,2023-02-21,2023-02-21,JACQUELYN BLOMKER,Director of Revenue Cycle,Orthopaedic Surgery,United States
CARY S KELLER MD PC,(907) 451-6561,907-451-4847,1919 LATHROP ST,SUITE 105,FAIRBANKS,AK,997015937,Orthopaedic Surgery,207X00000X,2,"STEWART KERR, MD; NATHAN MARSH, M.D.",1922127992,NPI-2,2007-03-28,2013-06-07,REBECCA DEAN,Executive Director,"Orthopaedic Surgery, Sports Medicine; Preventive Medicine, Sports Medicine; Orthopaedic Surgery",United States
"DANIEL R JOHNSON, D.O.",(907) 456-3338,907-456-3443,3745 GEIST RD,,FAIRBANKS,AK,997093548,Orthopaedic Surgery,207X00000X,0,,1235448309,NPI-2,2010-10-06,2010-10-06,DANIEL JOHNSON,Owner,Orthopaedic Surgery,United States
GEORGE R VRABLIK MD APC,(907) 452-5771,907-452-5544,1919 LATHROP ST,STE 108,FAIRBANKS,AK,99701,Orthopaedic Surgery,207X00000X,2,"STEWART KERR, MD; NATHAN MARSH, M.D.",1679642714,NPI-2,2006-11-06,2020-08-22,GEORGE VRABLIK,President Owner,Orthopaedic Surgery,United States
"JOHN W. JOOSSE, MD A PC",(907) 456-5803,,1411 19TH AVE,,FAIRBANKS,AK,997015902,Orthopaedic Surgery,207X00000X,0,,1104099050,NPI-2,2008-04-10,2008-04-30,JOHN JOOSSE,Owner,Orthopaedic Surgery,United States
"MCKINLEY ORTHOPEDIC AND SPORTS MEDICINE, LLC",(907) 456-3387,907-456-3443,3745 GEIST RD,,FAIRBANKS,AK,997093554,Orthopaedic Surgery,207X00000X,0,,1760938021,NPI-2,2016-08-28,2025-10-06,TIMOTHY CAREY,Owner,"Anesthesiology, Pain Medicine; Orthopaedic Surgery",United States
"MCKINLEY SPORTS MEDICINE, LLC",(907) 456-3341,907-456-3443,3745 GEIST RD,,FAIRBANKS,AK,997093554,"Family Medicine, Sports Medicine",207QS0010X,0,,1407304017,NPI-2,2016-09-13,2016-09-13,JENNIFER MALCOLM,President,"Family Medicine, Sports Medicine",United States
"ORTHOPAEDIC SURGICAL ASSOCIATES, LLC",(907) 374-6602,907-374-6604,1275 SADLER WAY,SUITE 101,FAIRBANKS,AK,997013171,Orthopaedic Surgery,207X00000X,1,"JIMMY TAMAI, MD",1629215488,NPI-2,2009-01-15,2009-01-15,JIMMY TAMAI,President,Orthopaedic Surgery,United States
ORTHOPEDIC & SPORTSMEDICINE CLINIC OF FAIRBANKS LLC,(907) 479-2663,907-479-2691,2310 PEGER RD STE 105,,FAIRBANKS,AK,997095305,"Orthopaedic Surgery, Sports Medicine",207XX0005X,1,"NEAL EVERSON, D.O.",1689304982,NPI-2,2022-06-10,2022-06-10,NEAL EVERSON,Member Manager,"Orthopaedic Surgery, Sports Medicine",United States
"STEESE ORTHOPAEDIC ASSOCIATES, LLC",(907) 374-4636,,1405 KELLUM ST,SUITE 101,FAIRBANKS,AK,997014102,Orthopaedic Surgery,207X00000X,0,,1669619599,NPI-2,2009-01-14,2010-09-27,RICHARD COBDEN,Sole Member,Orthopaedic Surgery,United States
"SOUTH PENINSULA HOSPITAL, INC.",(907) 235-8101,907-235-0253,4300 BARTLETT STREET,,HOMER,AK,996037005,"General Acute Care Hospital, Critical Access",282NC0060X,0,,1679566269,NPI-2,2005-08-29,2020-02-07,RYAN SMITH,Chief Executive Officer,"Emergency Medicine, Emergency Medical Services; Orthopaedic Surgery; Surgery; Clinic/Center, Multi-Specialty; General Acute Care Hospital, Critical Access",United States
BARTLETT REGIONAL HOSPITAL,(907) 796-8198,907-796-8287,3250 HOSPITAL DR,,JUNEAU,AK,998017808,Orthopaedic Surgery,207X00000X,1,ERIK WOELBER,1861200511,NPI-2,2024-12-27,2024-12-27,JOSEPH WANNER,CEO,Orthopaedic Surgery,United States
JON A REISWIG MD A PROFESSIONAL CORP,(907) 586-3821,907-586-1141,3260 HOSPITAL DR,,JUNEAU,AK,998017808,Orthopaedic Surgery,207X00000X,2,"NATHAN PEIMANN, M.D.; TED SCHWARTING, MD",1164601860,NPI-2,2007-10-30,2009-06-30,TONYA ISTURIS,Billing Manager,Orthopaedic Surgery,United States
"JUNEAU BONE & JOINT CENTER, LLC.",(907) 364-2663,,3220 HOSPITAL DR,,JUNEAU,AK,998017808,Orthopaedic Surgery,207X00000X,3,"GORDON BOZARTH, M.D.; ALAN GROSS; DANIEL HARRAH, M.D.",1699808139,NPI-2,2007-03-13,2020-08-14,OLIVIA BINGHAM,Director,"Internal Medicine, Sports Medicine; Orthopaedic Surgery; Orthopaedic Surgery; Nurse Practitioner; Nurse Practitioner, Family; Nurse Practitioner, Psych/Mental Health; Orthopaedic Surgery",United States
TED L SCHWARTING MD INC,(907) 364-2663,907-364-2662,3220 HOSPITAL DRIVE,SUITE 201,JUNEAU,AK,99801,Orthopaedic Surgery,207X00000X,0,,1336325539,NPI-2,2008-01-17,2008-01-17,TED SCHWARTING,Owner and Physician,Orthopaedic Surgery,United States
VORI HEALTH MEDICAL GROUP PC,(866) 719-9611,,9360 GLACIER HWY STE 202,,JUNEAU,AK,998017012,Physical Medicine & Rehabilitation,208100000X,0,,1063163814,NPI-2,2022-01-13,2023-02-07,MARY O'CONNOR,Managing Member,"Registered Nurse, Orthopedic; Emergency Medicine, Sports Medicine; Dietitian, Registered, Nutrition, Sports Dietetics; Family Medicine, Sports Medicine; Internal Medicine, Sports Medicine; Physical Medicine & Rehabilitation, Pain Medicine; Physical Medicine & Rehabilitation, Sports Medicine; Preventive Medicine, Sports Medicine; Physical Therapist; Physical Therapist, Ergonomics; Physical Therapist, Sports; Physical Therapist, Orthopedic; Occupational Therapist, Physical Rehabilitation; Physical Medicine & Rehabilitation",United States
VORI MEDICAL PC,(866) 719-9611,,9360 GLACIER HWY STE 202,,JUNEAU,AK,998017012,Physical Medicine & Rehabilitation,208100000X,0,,1063164804,NPI-2,2022-01-24,2023-02-07,MARY O'CONNOR,Managing Member,"Dietitian, Registered, Nutrition, Sports Dietetics; Registered Nurse, Orthopedic; Emergency Medicine, Sports Medicine; Family Medicine, Sports Medicine; Internal Medicine, Sports Medicine; Physical Medicine & Rehabilitation, Pain Medicine; Physical Medicine & Rehabilitation, Sports Medicine; Preventive Medicine, Sports Medicine; Physical Therapist; Physical Therapist, Ergonomics; Physical Therapist, Sports; Physical Therapist, Orthopedic; Occupational Therapist, Physical Rehabilitation; Physical Medicine & Rehabilitation",United States
PEACEHEALTH,(907) 228-8300,907-228-8518,3100 TONGASS AVE,,KETCHIKAN,AK,999015746,"Radiology, Diagnostic Radiology",2085R0202X,2,"SHANNON O'BRIEN, m.d.; JOHN SCHWARTZ, MD",1801965736,NPI-2,2006-11-07,2011-08-31,PATRICK BRANCO,CEO,"Midwife; Anesthesiology; Emergency Medicine; Family Medicine; Internal Medicine; Obstetrics & Gynecology; Orthopaedic Surgery; Pathology, Anatomic Pathology & Clinical Pathology; Pediatrics; Psychiatry & Neurology, Psychiatry; Surgery; Nurse Anesthetist, Certified Registered; Internal Medicine, Sleep Medicine; Radiology, Diagnostic Radiology",United States
RUSSELL DEGROOTE MD PC,(907) 247-9999,,25 JEFFERSON WAY STE 101,,KETCHIKAN,AK,999015953,Orthopaedic Surgery,207X00000X,1,"RUSSELL DEGROOTE, M.D.",1033278155,NPI-2,2006-12-06,2026-03-12,RUSSELL DEGROOTE,Owner,Orthopaedic Surgery,United States
"DENALI ORTHOPEDIC SURGERY, P.C.",(907) 745-2663,907-745-2600,2490 S WOODWORTH LOOP,SUITE 350,PALMER,AK,996457411,Orthopaedic Surgery,207X00000X,0,,1245284470,NPI-2,2006-05-20,2007-12-12,RICHARD STROHMEYER,President,Orthopaedic Surgery,United States
"CENTRAL PENINSULA GENERAL HOSPITAL, INC",(907) 714-5770,907-714-3111,240 HOSPITAL PL,,SOLDOTNA,AK,996697559,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1285362566,NPI-2,2022-08-12,2022-08-12,SHAUN KEEF,CEO,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
GRAYLING MEDICAL GROUP LLC,(907) 260-5455,877-200-7122,240 HOSPITAL PLACE,SUITE 103,SOLDOTNA,AK,99669,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",207XS0117X,0,,1497002968,NPI-2,2012-08-14,2021-11-30,NICOLE ERB,Practice Administrator,"Orthopaedic Surgery, Orthopaedic Surgery of the Spine",United States
HCI ORTHO,(907) 420-3540,,289 N FIREWEED ST STE D,,SOLDOTNA,AK,996697570,"Orthopaedic Surgery, Sports Medicine",207XX0005X,1,"HENRY KRULL, M.D.",1942840038,NPI-2,2020-01-07,2020-01-07,HENRY KRULL,Owner,"Orthopaedic Surgery, Sports Medicine",United States
HCIORTHO,(907) 420-3540,907-312-5881,289 N FIREWEED ST STE B,,SOLDOTNA,AK,996697570,"Orthopaedic Surgery, Sports Medicine",207XX0005X,0,,1285000497,NPI-2,2015-08-11,2019-07-08,HERBERT BOTE,Owner,"Orthopaedic Surgery, Sports Medicine",United States
INDEPENDENCE HEALTHCARE,(907) 262-6454,,291 N FIREWEED ST,,SOLDOTNA,AK,996697540,"Clinic/Center, Multi-Specialty",261QM1300X,1,"KRISTEN KEELEY, MD",1427598978,NPI-2,2017-03-02,2017-03-09,MERCY BERG,Office Manager,"Radiology, Diagnostic Radiology; Physical Medicine & Rehabilitation; Orthopaedic Surgery; Clinic/Center, Multi-Specialty",United States
SCOTT INNES MD PC,(907) 252-8063,,240 HOSPITAL PL STE 204,,SOLDOTNA,AK,996697559,Orthopaedic Surgery,207X00000X,1,"HERBERT BOTE, M.D.",1174051718,NPI-2,2017-05-26,2019-09-19,DAVID INNES,Owner,Orthopaedic Surgery,United States
ALTAIR INTEGRATIVE WELLNESS,(907) 357-1818,907-357-1814,892 E USA CIR STE 108,,WASILLA,AK,996547106,"Chiropractor, Sports Physician",111NS0005X,0,,1932744836,NPI-2,2019-11-14,2024-11-25,TARA WORKMAN DC,CEO,"Chiropractor, Sports Physician; Physical Medicine & Rehabilitation, Sports Medicine; Clinic/Center, Multi-Specialty; Nurse Practitioner, Family",United States
"MEDICAL NETWORK OF ALASKA, LLC",(907) 563-3145,,3505 E MERIDIAN PARK LOOP,,WASILLA,AK,996547242,Orthopaedic Surgery,207X00000X,0,,1376241083,NPI-2,2023-02-21,2023-02-21,JACQUELYN BLOMKER,Director of Revenue Cycle,Orthopaedic Surgery,United States
PIONEER PEAK ORTHOPEDICS LLC,(907) 707-1671,,3765 E. BLUE LUPINE DR. SUITE D,,WASILLA,AK,99654,Orthopaedic Surgery,207X00000X,1,"CHARLES HAGGERTY, M.D.",1548639727,NPI-2,2015-09-17,2023-10-05,MICHAEL MONTANO,Physician and 1/3 Owner,Orthopaedic Surgery,United States
SURGICAL SPECIALISTS OF ALASKA LLC,(907) 230-3734,866-525-8738,1690 W PIPESTONE DR,,WASILLA,AK,996549741,Orthopaedic Surgery,207X00000X,0,,1265834782,NPI-2,2014-09-17,2018-05-07,KERRE SHELTON,Operations Administrator,Orthopaedic Surgery,United States
VALLEY ORTHOPEDIC SURGERY PC DR CHARLES J KASE MD PC,(907) 232-2492,,6231 E MOUNTAIN GOAT CIR,,WASILLA,AK,996549334,Orthopaedic Surgery,207X00000X,0,,1740206101,NPI-2,2006-07-15,2014-12-16,CHARLES KASE,President,Orthopaedic Surgery,United States
"ALABAMA BONE & JOINT CLINIC,LLC",(205) 621-3778,,1022 1ST ST N,SUITE 220,ALABASTER,AL,350078706,Orthopaedic Surgery,207X00000X,0,,1780980540,NPI-2,2011-01-26,2011-09-19,CHAD MATHIS,DELEGATED OFFICIAL,Orthopaedic Surgery,United States
GERHARDT AND BRACKIN LLC,(205) 663-2103,205-664-3083,1004 1ST ST N,STE 350,ALABASTER,AL,35007,Orthopaedic Surgery,207X00000X,0,,1922104389,NPI-2,2006-09-15,2008-07-21,ANGEL WALTON,Billing,Orthopaedic Surgery; Orthopaedic Surgery,United States
LEMAK SPORTS MEDICINE LLC,(205) 358-9120,205-358-9121,831 1ST ST N,,ALABASTER,AL,350078944,Orthopaedic Surgery,207X00000X,0,,1972780757,NPI-2,2008-01-24,2017-01-30,MATTHEW LEMAK,Chief Executive Officer,"Radiology, Diagnostic Radiology; Orthopaedic Surgery",United States
"ORTHOPAEDIC SPECIALISTS OF ALABAMA, PC",(205) 621-3778,205-621-4835,1022 1ST ST. NORTH,STE. 220,ALABASTER,AL,350078706,Orthopaedic Surgery,207X00000X,0,,1093025215,NPI-2,2010-10-21,2010-12-10,JENNIFER FREED,Credentialing,Orthopaedic Surgery,United States
"SKYLARK MEDICAL, LLC",(205) 984-2729,,3 BROWN CIR,,ALABASTER,AL,350073811,"Internal Medicine, Sports Medicine",207RS0010X,0,,1619621505,NPI-2,2022-02-09,2023-06-27,DAVID HARDIN,Managing Member,"Internal Medicine, Sports Medicine",United States
"BONE & JOINT SPECIALISTS, P.C.",(256) 329-9133,256-329-9283,3368 HIGHWAY 280,SUITE 116,ALEXANDER CITY,AL,350103393,Orthopaedic Surgery,207X00000X,0,,1366530578,NPI-2,2006-10-11,2007-10-24,CASEY OLIVER,Administrative Assistant,Orthopaedic Surgery,United States
"GRAHAM L. HOWORTH, M.D., P.C.",(256) 234-0989,256-234-3114,1120 AIRPORT DR STE 101,,ALEXANDER CITY,AL,350103444,"Orthopaedic Surgery, Sports Medicine",207XX0005X,0,,1013198985,NPI-2,2007-11-20,2007-11-20,GRAHAM HOWORTH,President,"Orthopaedic Surgery, Sports Medicine",United States
ANDALUSIA PHYSICIAN PRACTICES LLC,(334) 222-4449,334-222-4450,301 MEDICAL AVENUE,SUITE C,ANDALUSIA,AL,36420,Orthopaedic Surgery,207X00000X,0,,1306131834,NPI-2,2011-06-13,2023-02-09,KATHY TEAGUE,"Vice President, Corporate Secretary",Orthopaedic Surgery,United States
ANDALUSIA PHYSICIAN PRACTICES LLC,(615) 565-1590,,301 MEDICAL DRIVE,SUITE C,ANDALUSIA,AL,36420,Orthopaedic Surgery,207X00000X,0,,1740425297,NPI-2,2008-12-12,2023-02-09,KATHY TEAGUE,"Vice President, Corporate Secretary",Orthopaedic Surgery,United States
ANDALUSIA PHYSICIAN PRACTICES LLC,(334) 222-1366,334-222-1150,301 MEDICAL AVE STE A,,ANDALUSIA,AL,364201103,Family Medicine,207Q00000X,0,,1972870335,NPI-2,2011-11-29,2023-02-09,KATHY TEAGUE,"Vice President, Corporate Secretary",Internal Medicine; Orthopaedic Surgery; Urology; Nurse Practitioner; Family Medicine,United States
ORTHOPAEDICS OF SOUTH ALABAMA,(334) 427-1022,334-427-1023,300 MEDICAL AVE,SUITE 1,ANDALUSIA,AL,364201204,Orthopaedic Surgery,207X00000X,1,"LANDON ANDERSON, MD",1104094465,NPI-2,2008-02-20,2008-02-20,LANDON ANDESON,Physician,Orthopaedic Surgery,United States
ANNISTON ORTHOPEDICS ASSOCIATES PA,(256) 236-4121,256-237-5254,731 LEIGHTON AVE,STE 300,ANNISTON,AL,362075762,Orthopaedic Surgery,207X00000X,0,,1114916681,NPI-2,2005-10-18,2010-02-10,WILLIAM PRINCE,Adminstrator,Orthopaedic Surgery,United States
"CULLMAN PROFESSIONAL RESOURCES, INC",(256) 931-2307,,131 GOLFVIEW DR NE,,ARAB,AL,350165473,Orthopaedic Surgery,207X00000X,0,,1154338788,NPI-2,2006-08-03,2020-08-22,NICHOLAS MANSUETTA,owner,Orthopaedic Surgery,United States
"ATHENS LIMESTONE HEALTH SERVICES, LLC",(256) 216-9630,256-216-9652,209 FITNESS WAY,SUITE C,ATHENS,AL,356112451,Orthopaedic Surgery,207X00000X,0,,1922245778,NPI-2,2009-01-15,2009-01-15,JAMES COMER,CFO,Orthopaedic Surgery,United States
