npi,enumeration_type,practice_name,phone,fax,address_line_1,address_line_2,city,state,zip_code,country,primary_taxonomy,taxonomy_code,all_taxonomies,enumeration_date,last_updated,status,authorized_official_name,authorized_official_title,estimated_physician_count,physician_names_sample
1356395537,NPI-2,BIRMINGHAM BONE & JOINT CLINIC PC,205-786-0315,205-788-2663,924 FULTON AVE SW,,BIRMINGHAM,AL,352111229,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2006-05-20,2011-01-27,A,JOHN WEAVER,Authorized Official,0,
1366530578,NPI-2,"BONE & JOINT SPECIALISTS, P.C.",256-329-9133,256-329-9283,3368 HIGHWAY 280,SUITE 116,ALEXANDER CITY,AL,350103393,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2006-10-11,2007-10-24,A,CASEY OLIVER,Administrative Assistant,0,
1700017852,NPI-2,BONY F BARRINEAU MD PC,205-333-5049,205-330-7922,2201 32ND STREET,,NORTHPORT,AL,35476,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2009-08-06,2010-07-28,A,BONY BARRINEAU,Owner/MD,0,
1376096404,NPI-2,BOYETT ORTHOSPINE INC,256-233-2332,256-216-3579,15243 GREENFIELD DR,SUITE A,ATHENS,AL,356132899,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2016-07-25,2016-07-25,A,JOHN BOYETT,Owner,0,
1316480718,NPI-2,BRAMLETT ORTHOPAEDIC LLC,205-259-3991,,200 MONTGOMERY HWY STE 200,,VESTAVIA,AL,352161896,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2016-12-02,2017-03-21,A,KENNETH BRAMLETT,physician,0,
1144655309,NPI-2,"BROOKWOOD SPORTS AND ORTHOPEDICS, L.L.C.",205-877-2663,205-874-9622,13521 OLD HIGHWAY 280,STE. 201B,BIRMINGHAM,AL,352421405,United States,"Orthopaedic Surgery, Sports Medicine",207XX0005X,"Emergency Medicine, Sports Medicine; Durable Medical Equipment & Medical Supplies; Orthopaedic Surgery, Sports Medicine",2013-09-06,2016-05-26,A,WESLEY JAMES,"Regional CFO, Tenet",0,
1922471812,NPI-2,"BW HAND PRACTICE, LLC",205-822-9595,205-802-6768,200 MONTGOMERY HWY,STE. 125,VESTAVIA,AL,352161842,United States,"Emergency Medicine, Sports Medicine",207PS0010X,"Orthopaedic Surgery; Surgery, Surgery of the Hand; Durable Medical Equipment & Medical Supplies; Emergency Medicine, Sports Medicine",2015-11-02,2016-05-26,A,WESLEY JAMES,"Regional CFO, Tenet",0,
1720452428,NPI-2,"BW SPORTS PRACTICE, LLC",205-877-2663,205-874-9622,13521 OLD HIGHWAY 280,STE. 201B,BIRMINGHAM,AL,352421405,United States,"Emergency Medicine, Sports Medicine",207PS0010X,"Orthopaedic Surgery, Sports Medicine; Durable Medical Equipment & Medical Supplies; Emergency Medicine, Sports Medicine",2015-11-18,2016-05-26,A,WESLEY JAMES,"Regional CFO, Tenet",0,
1043621014,NPI-2,CAHABA ORTHOPEDICS LLC,205-592-5000,,720 MONTCLAIR RD,SUITE 200,BIRMINGHAM,AL,352131964,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2014-05-13,2014-05-13,A,JAMES WRIGHT,Sr. Director,1,"STEPHEN COWLEY, MD"
1972858140,NPI-2,CHILTON COUNTY ORTHOPAEDICS LLC,205-259-3991,,2700 10TH AVE S,SUITE 200,BIRMINGHAM,AL,352051200,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2012-07-13,2012-07-14,A,JAMES WORTHEN,Physician,2,"DAVID ADKISON, MD; DAVID ADKISON, MD"
1114034501,NPI-2,CLARK COUNTY ORTHOPEDIC GROUP LLC,334-636-0793,334-636-2280,UNIT 134,3050 HWY 5 N,THOMASVILLE,AL,367844325,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2006-08-23,2008-04-20,A,JUDY MOORE,Insurance Clerk,0,
1437315504,NPI-2,CLINTON M RAY MD ORTHOPAEDICS & SPORTS MEDICINE LLC,256-241-4842,256-241-3254,1419 HAMRIC DR E STE 201,,OXFORD,AL,362032181,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2008-07-29,2024-04-05,A,CLINTON RAY,Owner/Member,0,
1154338788,NPI-2,"CULLMAN PROFESSIONAL RESOURCES, INC",256-931-2307,,131 GOLFVIEW DR NE,,ARAB,AL,350165473,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2006-08-03,2020-08-22,A,NICHOLAS MANSUETTA,owner,0,
1528006996,NPI-2,"CULLMAN REGIONAL ORTHOPEDICS & SPORTS MEDICINE, PC",256-737-5115,,1942 AL HIGHWAY 157,,CULLMAN,AL,350580609,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2006-06-04,2008-03-04,A,DAVID DUELAND,owner/physician,2,"DAVID DUELAND, MD; BEN GOMEZ, MD"
1548377302,NPI-2,CULLMAN SPINE INSTITUTE INC,256-734-7707,256-734-7796,1300 BRIDGE CREEK DR NE,SUITE B,CULLMAN,AL,350551300,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2006-08-25,2016-04-15,A,JULIE JENNINGS,Office Manager,0,
1740331347,NPI-2,"DECATUR ORTHOPAEDIC CLINIC, LLC",256-350-0362,256-355-9779,1107 14TH AVE SE STE 300,,DECATUR,AL,356013368,United States,Orthopaedic Surgery,207X00000X,"Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery, Foot and Ankle Surgery; Physical Medicine & Rehabilitation; Podiatrist, Foot & Ankle Surgery; Physical Therapist, Orthopedic; Durable Medical Equipment & Medical Supplies; Prosthetic/Orthotic Supplier; Orthopaedic Surgery",2007-01-12,2024-02-09,A,MARSHA BUCHANAN,Office Manager,0,
1043388374,NPI-2,"DECATUR ORTHOPAEDICS SPECIALISTS, P.C.",256-318-8811,256-350-3632,3402 VESTAVIA CIR SW,,DECATUR,AL,356034604,United States,Orthopaedic Surgery,207X00000X,Durable Medical Equipment & Medical Supplies; Orthopaedic Surgery,2006-12-04,2013-12-29,A,JAY SOLORIO,President Owner,0,
1548565773,NPI-2,"DESTIN ORTHOPEDICS,PL",251-665-5127,251-665-5159,5613 COTTAGE HILL RD,,MOBILE,AL,366094210,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2011-01-19,2012-06-18,A,HERBERT ALLEN,President,0,
1225138225,NPI-2,"DEWEY H. JONES, III, M.D., LLC",205-870-1498,205-871-2851,3105 INDEPENDENCE DR,SUITE 105,BIRMINGHAM,AL,352094111,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2006-09-22,2020-08-22,A,DEWEY JONES,OWNER/PHYSICIAN,0,
1508966599,NPI-2,"DEWEY H. JONES, IV, M.D.,LLC",205-870-1498,205-871-2851,3686 GRANDVIEW PKWY STE 430,,BIRMINGHAM,AL,352433404,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2006-09-22,2024-07-10,A,KRISTIN MCCARRON,Mgt Company-DocRx,3,NELSON AGEE; MALLORI DAVIS; NELSON AGEE
1144082801,NPI-2,DR HECK CONSULTING LLC,205-985-4111,,4517 SOUTHLAKE PKWY,,HOOVER,AL,352443280,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2024-01-29,2024-01-29,A,CHRIS HECK,Owner,0,
1922272624,NPI-2,"EAST ALABAMA ORTHOPAEDICS AND SPORTS MEDICINE, LLC",334-528-2663,334-528-2669,2000 PEPPERELL PKWY,BLD. 5,OPELIKA,AL,368015452,United States,"Orthopaedic Surgery, Sports Medicine",207XX0005X,"Internal Medicine; Internal Medicine, Sports Medicine; Orthopaedic Surgery, Sports Medicine",2008-04-15,2013-11-01,A,SAMUEL PRICE,CFO,0,
1942408729,NPI-2,"EASTERN SHORE ORTHOPAEDIC CENTER, P.C.",251-928-4033,251-928-4032,912 PLANTATION BLVD,,FAIRHOPE,AL,365322952,United States,Orthopaedic Surgery,207X00000X,Physical Therapist; Orthopaedic Surgery,2007-07-03,2009-01-13,A,JOHN RODRIGUEZ-FEO,PRESIDENT,0,
1477276657,NPI-2,ELITE ORTHOPEDICS & SPINE LLC,888-315-2615,,2660 10TH AVE S STE 107,,BIRMINGHAM,AL,352051622,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2022-09-22,2022-11-02,A,CHERYL PINNEO,Credentialing,0,
1124528468,NPI-2,"FAST PACE MEDICAL CLINIC, PLLC",423-746-5973,,25 BEAR PKWY,,LINCOLN,AL,350966798,United States,Orthopaedic Surgery,207X00000X,"Clinic/Center, Rural Health; Orthopaedic Surgery",2018-02-13,2022-10-11,A,SYDNI CLEMMONS,COO,0,
1629027826,NPI-2,FOLEY CLINIC CORP,251-968-5901,,101 E 15TH AVE,,GULF SHORES,AL,365423501,United States,Family Medicine,207Q00000X,Internal Medicine; Orthopaedic Surgery; Pediatrics; Family Medicine,2006-05-08,2025-06-16,A,KRISTINA MUSIC,"Director, Provider Enrollment",0,
1396764395,NPI-2,FORT PAYNE CLINIC CORP.,256-845-3150,256-997-2512,200 MEDICAL CENTER DRIVE,ATTN: DIRECTOR OF PHYSICIAN PRACTICES,FORT PAYNE,AL,35960,United States,Internal Medicine,207R00000X,Orthopaedic Surgery; Internal Medicine,2006-07-19,2023-07-07,A,LAURA FEY,Sr. Director Physician Rev Cycle,0,
1366407199,NPI-2,FOWLER SPORTS MEDICINE & ORTHOPAEDICS,205-752-1800,205-752-1891,100 RICE MINE ROAD LOOP,SUITE 205,TUSCALOOSA,AL,354062419,United States,Orthopaedic Surgery,207X00000X,Durable Medical Equipment & Medical Supplies; Orthopaedic Surgery,2006-04-17,2009-03-17,A,HOWARD FOWLER,President,1,"HOWARD FOWLER, M.D."
1366501223,NPI-2,FOWLER SPORTS MEDICINE & ORTHOPAEDICS II,205-752-1800,205-752-1891,100 RICE MINE ROAD LOOP,SUITE 205,TUSCALOOSA,AL,354062419,United States,Orthopaedic Surgery,207X00000X,Durable Medical Equipment & Medical Supplies; Orthopaedic Surgery,2006-12-07,2009-03-10,A,HOWARD FOWLER,President,1,"HOWARD FOWLER, M.D."
1093033615,NPI-2,FRANK HATCHETT,256-768-9928,,2111 CLOYD BLVD,,FLORENCE,AL,356301503,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2010-05-06,2010-05-13,A,FRANK HATCHETT,Physician,0,
1154551703,NPI-2,FRANKLIN PRIMARY HEALTH CENTER INC,251-344-1964,251-344-2227,801 UNIVERSITY BLVD S STE D,,MOBILE,AL,366092949,United States,"Clinic/Center, Federally Qualified Health Center (FQHC)",261QF0400X,"Dentist; Family Medicine; Internal Medicine; Obstetrics & Gynecology; Ophthalmology; Orthopaedic Surgery; Pediatrics; Radiology, Body Imaging; Hospitalist; Clinic/Center, Medical Specialty; Clinic/Center, Federally Qualified Health Center (FQHC)",2009-07-16,2022-08-30,A,CHARLES WHITE,Chief Executive Officer,0,
1487988499,NPI-2,"FRANKLIN PRIMARY HEALTH CENTER, INC",251-432-4117,251-964-4012,300 BAY SHORE AVE BLDG 306,,MOBILE,AL,366072009,United States,"Clinic/Center, Federally Qualified Health Center (FQHC)",261QF0400X,"Emergency Medicine; Family Medicine; Family Medicine, Geriatric Medicine; Internal Medicine; Internal Medicine, Bariatric Medicine; Internal Medicine, Gastroenterology; Obstetrics & Gynecology; Orthopaedic Surgery, Foot and Ankle Surgery; Physical Medicine & Rehabilitation; General Practice; Clinic/Center, Federally Qualified Health Center (FQHC)",2009-09-23,2022-08-30,A,CHARLES WHITE,CEO,0,
1548449325,NPI-2,GAYLON R ROGERS MD PC,205-481-7795,205-481-7794,985 9TH AVE SW,SUITE 306 POB,BESSEMER,AL,350224500,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2007-10-30,2008-07-07,A,CYNTHIA LIVINGSTON,Practice Manager,0,
1700189412,NPI-2,GEOFFREY CONNOR MD PC,205-803-3700,205-803-3707,1651 INDEPENDENCE CT,SUITE 211,BIRMINGHAM,AL,352094153,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2010-12-20,2012-10-25,A,GEOFFREY CONNOR,Physician,0,
1922104389,NPI-2,GERHARDT AND BRACKIN LLC,205-663-2103,205-664-3083,1004 1ST ST N,STE 350,ALABASTER,AL,35007,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery; Orthopaedic Surgery,2006-09-15,2008-07-21,A,ANGEL WALTON,Billing,0,
1619671641,NPI-2,GOODMAN MALLEMPATI & ASSOCIATES LLC,205-971-1000,,3690 GRANDVIEW PKWY,,BIRMINGHAM,AL,352433326,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2023-03-27,2023-03-27,A,SRINIVAS MALLEMPATI,PRESIDENT,0,
1013198985,NPI-2,"GRAHAM L. HOWORTH, M.D., P.C.",256-234-0989,256-234-3114,1120 AIRPORT DR STE 101,,ALEXANDER CITY,AL,350103444,United States,"Orthopaedic Surgery, Sports Medicine",207XX0005X,"Orthopaedic Surgery, Sports Medicine",2007-11-20,2007-11-20,A,GRAHAM HOWORTH,President,0,
1376220822,NPI-2,"HH HEALTH SYSTEM - THE ORTHOPAEDIC CENTER, LLC",256-539-2728,,927 FRANKLIN ST SE,,HUNTSVILLE,AL,358014306,United States,Orthopaedic Surgery,207X00000X,"Orthopaedic Surgery, Pediatric Orthopaedic Surgery; Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery, Orthopaedic Trauma; Orthopaedic Surgery",2023-06-28,2023-09-12,A,MARK DIDIER,President,4,"COREY BURKE, MD; MICHAEL CANTRELL, M.D.; MATTHEW DEORIO, M.D.; DAVID GRIFFIN, M.D."
1730030099,NPI-2,"HH HEALTH SYSTEM - THE ORTHOPAEDIC CENTER, LLC",256-350-0362,256-539-2666,1107 14TH AVE SE STE 300,,DECATUR,AL,356013368,United States,Orthopaedic Surgery,207X00000X,"Orthopaedic Surgery, Hand Surgery; Orthopaedic Surgery, Orthopaedic Surgery of the Spine; Orthopaedic Surgery, Pediatric Orthopaedic Surgery; Orthopaedic Surgery, Foot and Ankle Surgery; Orthopaedic Surgery, Sports Medicine; Orthopaedic Surgery, Orthopaedic Trauma; Orthopaedic Surgery, Adult Reconstructive Orthopaedic Surgery; Orthopaedic Surgery",2026-02-04,2026-02-04,A,REBECCA CRUME,Credentialing Manager,0,
1033227871,NPI-2,"HOUSTON ORTHOPEDICS, PC",334-793-9564,334-671-8907,4300 W MAIN ST,SUITE 102,DOTHAN,AL,363051054,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2006-08-29,2020-08-22,A,JAMES DEHAVEN,MD/Owner,0,
1356040554,NPI-2,IMC -GULF ORTHOPAEDICS LLC,251-435-2663,,341 GREENO RD N,,FAIRHOPE,AL,365322979,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2023-02-27,2023-02-27,A,ANTHONY PALAZZO,Vice President of Finance,3,"CARL ALBERTSON, M.D.; JOEY CARTER, MD; JASON DETERMANN, MD"
1063171742,NPI-2,IMC -GULF ORTHOPAEDICS LLC,251-435-2663,,831 HILLCREST RD STE C,,MOBILE,AL,366954075,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2021-12-10,2021-12-10,A,ANTHONY PALAZZO,Vice President of Finance,0,
1922767714,NPI-2,IMC -GULF ORTHOPAEDICS LLC,251-435-2663,,95 SHELL ST,,SARALAND,AL,365712202,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2021-12-09,2021-12-09,A,ANTHONY PALAZZO,Vice President of Finance,0,
1346949542,NPI-2,IMC -GULF ORTHOPAEDICS LLC,251-435-2663,,1121 BELLEVILLE AVE STE A,,BREWTON,AL,364261502,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2023-02-27,2023-02-27,A,ANTHONY PALAZZO,Vice President of Finance,0,
1437858636,NPI-2,IMC -GULF ORTHOPAEDICS LLC,251-435-2663,,1622 N MCKENZIE ST,,FOLEY,AL,365352248,United States,Orthopaedic Surgery,207X00000X,Orthopaedic Surgery,2023-02-27,2023-02-27,A,ANTHONY PALAZZO,Vice President of Finance,0,
